548526 13474
1637 1640 1.000000
2991 8183 1.000000
4177 9179 1.000000
10596 10609 0.333333
10598 10609 0.333333
10599 10609 0.333333
10609 10613 0.500000
10599 10613 0.500000
10609 10627 0.250000
10596 10627 0.250000
10613 10627 0.250000
10599 10627 0.250000
11799 11804 1.000000
5457 15489 1.000000
6290 16051 1.000000
16109 16111 1.000000
9762 16457 1.000000
2230 17348 1.000000
14254 17479 1.000000
12904 18493 1.000000
12500 18853 1.000000
10902 19148 1.000000
14254 19463 0.500000
17479 19463 0.500000
6854 19622 1.000000
2770 20183 0.500000
20182 20183 0.500000
2770 20185 0.333333
20182 20185 0.333333
20183 20185 0.333333
20185 20186 0.250000
2770 20186 0.250000
20182 20186 0.250000
20183 20186 0.250000
19006 20353 1.000000
2348 20561 1.000000
19767 20763 1.000000
16051 20998 1.000000
18946 21193 1.000000
16019 21232 1.000000
20193 22379 1.000000
8720 22915 1.000000
13752 22979 0.500000
13146 22979 0.500000
8787 23338 1.000000
599 24701 1.000000
12681 26230 1.000000
4804 26284 1.000000
128 26513 1.000000
15489 27651 1.000000
27451 27841 1.000000
22379 28496 1.000000
6165 29915 1.000000
1872 30562 1.000000
19622 30849 0.500000
6854 30849 0.500000
20763 31348 0.500000
19767 31348 0.500000
11065 31591 1.000000
414 31823 1.000000
11426 31915 1.000000
11426 31935 1.000000
15489 31953 1.000000
20561 32781 1.000000
32818 32821 1.000000
32819 32871 1.000000
32818 32873 0.333333
32819 32873 0.333333
32871 32873 0.333333
32873 32875 0.333333
32819 32875 0.333333
32871 32875 0.333333
32818 32877 0.500000
32821 32877 0.500000
32873 32879 0.333333
32875 32879 0.333333
32821 32879 0.333333
32871 32880 0.200000
32873 32880 0.200000
32875 32880 0.200000
32879 32880 0.200000
32819 32880 0.200000
12526 33054 1.000000
12608 33227 1.000000
7563 33741 1.000000
7651 34204 1.000000
4262 34379 1.000000
30849 34477 1.000000
16912 35115 0.250000
12009 35115 0.250000
3850 35115 0.250000
11892 35115 0.250000
7651 35242 0.500000
34204 35242 0.500000
1806 35472 1.000000
20353 36212 1.000000
16750 36684 1.000000
31195 36793 1.000000
34869 37099 1.000000
349 37216 1.000000
20761 37316 1.000000
36684 37384 0.500000
16750 37384 0.500000
3850 38731 1.000000
9284 38972 1.000000
39537 39538 1.000000
39537 39539 0.500000
39538 39539 0.500000
39537 39540 0.333333
39538 39540 0.333333
39539 39540 0.333333
39538 39542 0.500000
39539 39542 0.500000
14254 40144 0.500000
17479 40144 0.500000
8680 40204 1.000000
2246 40924 1.000000
32686 41377 1.000000
15661 42039 1.000000
14372 42283 1.000000
13752 43798 0.333333
13146 43798 0.333333
22979 43798 0.333333
13867 43967 1.000000
4005 44111 1.000000
12500 44277 0.500000
18853 44277 0.500000
29159 44315 1.000000
43938 45847 0.500000
19994 45847 0.500000
41233 46638 1.000000
32451 46703 0.500000
10902 46703 0.500000
42080 46728 1.000000
20761 47014 0.500000
37316 47014 0.500000
17348 47156 1.000000
30582 47276 1.000000
22753 47498 1.000000
8720 47521 1.000000
5582 47930 1.000000
11773 48550 1.000000
42080 48627 1.000000
36169 48825 1.000000
8720 49211 1.000000
35472 49243 0.333333
4389 49243 0.333333
1806 49243 0.333333
49243 49268 0.500000
1806 49268 0.500000
6633 49271 1.000000
40389 49681 1.000000
26284 49697 0.500000
4804 49697 0.500000
30644 49737 0.500000
29246 49737 0.500000
8324 49756 0.052632
9244 49756 0.052632
9246 49756 0.052632
4767 49756 0.052632
9247 49756 0.052632
9252 49756 0.052632
9253 49756 0.052632
9254 49756 0.052632
10034 49756 0.052632
10035 49756 0.052632
38973 49756 0.052632
38974 49756 0.052632
9277 49756 0.052632
38977 49756 0.052632
9282 49756 0.052632
38978 49756 0.052632
9284 49756 0.052632
38981 49756 0.052632
38982 49756 0.052632
26661 50066 1.000000
43606 50157 1.000000
13083 50229 1.000000
38673 51162 1.000000
28513 51175 1.000000
20763 51187 0.500000
31348 51187 0.500000
49756 51393 1.000000
10539 51625 1.000000
13752 51660 0.500000
22979 51660 0.500000
42284 52236 1.000000
36205 52427 1.000000
22379 52859 1.000000
41377 53293 1.000000
14372 53416 1.000000
29195 53482 1.000000
32880 53520 0.333333
32873 53520 0.333333
32875 53520 0.333333
47917 53541 1.000000
23338 53654 0.500000
8787 53654 0.500000
33116 53698 1.000000
6690 53841 0.500000
52005 53841 0.500000
47276 53958 1.000000
21599 54269 1.000000
18761 55464 0.500000
20716 55464 0.500000
34883 55735 1.000000
36793 56058 1.000000
11426 56368 0.500000
31915 56368 0.500000
10149 56711 0.500000
30877 56711 0.500000
54892 57166 0.500000
32702 57166 0.500000
45847 57643 1.000000
51145 57683 0.333333
42283 57683 0.333333
14372 57683 0.333333
42888 58675 1.000000
54168 58742 1.000000
14435 59509 1.000000
35284 59771 1.000000
10627 59821 0.166667
10596 59821 0.166667
10598 59821 0.166667
10599 59821 0.166667
10609 59821 0.166667
10613 59821 0.166667
37384 60074 0.333333
36684 60074 0.333333
16750 60074 0.333333
35036 60351 1.000000
37216 60549 1.000000
15489 60667 1.000000
40204 60792 1.000000
44578 60897 0.500000
15708 60897 0.500000
45101 60937 1.000000
20676 60967 1.000000
17284 61148 1.000000
44801 61167 1.000000
47276 61182 0.333333
53958 61182 0.333333
30582 61182 0.333333
46170 61405 1.000000
43657 62080 1.000000
7651 62164 1.000000
32821 62523 1.000000
38006 62586 1.000000
3236 62953 1.000000
19622 63848 1.000000
17348 63867 0.500000
47156 63867 0.500000
46196 64131 1.000000
8619 64259 1.000000
22085 64287 1.000000
10546 64751 1.000000
19463 64777 0.500000
17479 64777 0.500000
61601 64808 0.500000
61938 64808 0.500000
36793 64999 1.000000
38504 65004 1.000000
2641 65360 1.000000
33492 65513 1.000000
23529 65611 1.000000
38970 66574 1.000000
21232 66620 0.500000
16019 66620 0.500000
42080 66647 0.333333
48627 66647 0.333333
46728 66647 0.333333
18596 66791 1.000000
49697 66802 0.500000
26284 66802 0.500000
51142 67111 1.000000
63076 67221 1.000000
31185 67407 1.000000
67554 67555 1.000000
31185 67802 0.500000
67407 67802 0.500000
46170 67883 0.500000
61405 67883 0.500000
38942 68149 1.000000
5456 68431 0.500000
17284 68431 0.500000
43938 68489 0.500000
45847 68489 0.500000
55464 68576 1.000000
61571 68613 1.000000
10734 68871 1.000000
3425 69540 1.000000
41377 70108 0.500000
53293 70108 0.500000
20676 70797 0.500000
60967 70797 0.500000
55464 70820 0.500000
18761 70820 0.500000
66791 70924 1.000000
37888 72095 1.000000
55464 72560 0.500000
18761 72560 0.500000
4005 72733 0.500000
44111 72733 0.500000
48550 73233 1.000000
54168 73243 1.000000
12147 73388 1.000000
54363 73719 1.000000
40144 73725 0.250000
64777 73725 0.250000
19463 73725 0.250000
17479 73725 0.250000
59514 73765 1.000000
873 74023 1.000000
8787 74163 0.500000
53654 74163 0.500000
68149 74213 1.000000
74550 74552 1.000000
21193 74639 1.000000
40924 74720 1.000000
13083 74914 0.500000
50229 74914 0.500000
3210 75287 0.500000
69404 75287 0.500000
21397 75306 1.000000
3850 76213 0.500000
38731 76213 0.500000
63867 76246 0.250000
17348 76246 0.250000
47156 76246 0.250000
2230 76246 0.250000
20761 76302 0.500000
37316 76302 0.500000
19148 76467 0.500000
46703 76467 0.500000
41377 76728 0.500000
70108 76728 0.500000
3456 77482 0.500000
9030 77482 0.500000
60709 77776 0.500000
15615 77776 0.500000
24701 78205 1.000000
55727 78359 1.000000
53482 78412 1.000000
47521 78517 1.000000
33895 78652 1.000000
56368 79164 0.333333
31915 79164 0.333333
31935 79164 0.333333
7630 79348 1.000000
63725 79671 0.500000
22967 79671 0.500000
60967 80072 1.000000
30012 80153 0.500000
25094 80153 0.500000
62080 80682 1.000000
35115 80999 1.000000
6170 81957 1.000000
49098 82214 1.000000
68489 82549 0.333333
57643 82549 0.333333
45847 82549 0.333333
24632 82995 1.000000
74552 83155 0.500000
74550 83155 0.500000
70863 83615 1.000000
29915 83619 1.000000
42977 83623 0.250000
78652 83623 0.250000
58742 83623 0.250000
33895 83623 0.250000
72095 84026 1.000000
47498 84217 1.000000
36628 84256 1.000000
78497 84342 1.000000
14435 84384 0.500000
59509 84384 0.500000
8324 84392 0.047619
9244 84392 0.047619
9246 84392 0.047619
4767 84392 0.047619
9247 84392 0.047619
9252 84392 0.047619
9253 84392 0.047619
9254 84392 0.047619
10034 84392 0.047619
10035 84392 0.047619
38973 84392 0.047619
38974 84392 0.047619
9277 84392 0.047619
38977 84392 0.047619
9282 84392 0.047619
38978 84392 0.047619
9284 84392 0.047619
38981 84392 0.047619
38982 84392 0.047619
51393 84392 0.047619
49756 84392 0.047619
49697 84512 0.250000
26284 84512 0.250000
4804 84512 0.250000
66802 84512 0.250000
58742 85486 1.000000
60897 85733 0.333333
44578 85733 0.333333
15708 85733 0.333333
4068 85992 1.000000
50066 86257 0.500000
26661 86257 0.500000
33138 86967 1.000000
62953 87721 1.000000
40257 87944 1.000000
67802 88071 0.500000
67407 88071 0.500000
76728 88501 0.333333
41377 88501 0.333333
70108 88501 0.333333
7916 88597 1.000000
67802 88664 0.500000
67407 88664 0.500000
60549 88924 1.000000
1872 89325 0.500000
53841 89325 0.500000
8619 89532 1.000000
68164 90017 1.000000
29915 90239 0.500000
83619 90239 0.500000
38731 90260 1.000000
47917 90508 1.000000
73719 90553 1.000000
30137 90577 1.000000
57824 90608 0.500000
82730 90608 0.500000
36793 90734 1.000000
62450 91182 0.500000
83103 91182 0.500000
24448 91196 1.000000
6290 91627 0.500000
16051 91627 0.500000
83615 91645 0.500000
70863 91645 0.500000
57636 91655 1.000000
10584 91722 0.500000
36535 91722 0.500000
84512 91726 0.200000
49697 91726 0.200000
4804 91726 0.200000
26284 91726 0.200000
66802 91726 0.200000
57683 91784 0.500000
14372 91784 0.500000
10904 91931 1.000000
16912 91945 0.250000
35115 91945 0.250000
11892 91945 0.250000
80999 91945 0.250000
88664 92707 0.500000
67407 92707 0.500000
64999 92800 0.142857
2503 92800 0.142857
90734 92800 0.142857
90295 92800 0.142857
36793 92800 0.142857
56058 92800 0.142857
31195 92800 0.142857
68430 93341 1.000000
33850 93424 1.000000
55464 93483 1.000000
36240 93547 0.500000
42176 93547 0.500000
28496 93556 0.250000
20193 93556 0.250000
22379 93556 0.250000
52859 93556 0.250000
34069 93746 1.000000
41233 93866 0.333333
80426 93866 0.333333
46638 93866 0.333333
4068 94324 1.000000
32451 94931 0.200000
19148 94931 0.200000
46703 94931 0.200000
76467 94931 0.200000
10902 94931 0.200000
62953 95142 0.500000
87721 95142 0.500000
75287 95376 1.000000
67990 95461 0.333333
18853 95461 0.333333
4262 95461 0.333333
20763 95539 0.250000
31348 95539 0.250000
51187 95539 0.250000
19767 95539 0.250000
84256 95613 1.000000
53698 95736 0.500000
33116 95736 0.500000
91645 95788 0.500000
70863 95788 0.500000
95025 96570 0.500000
22383 96570 0.500000
75175 96760 1.000000
16109 97128 0.500000
16111 97128 0.500000
97128 97129 0.333333
16109 97129 0.333333
16111 97129 0.333333
97128 97202 0.500000
97129 97202 0.500000
92800 97219 0.500000
51142 97219 0.500000
66432 97383 1.000000
72733 97674 0.333333
4005 97674 0.333333
