425746 15794
486 1451 1.000000
4515 7206 1.000000
1451 7742 1.000000
1451 7932 0.500000
7742 7932 0.500000
5291 8033 1.000000
7869 8109 1.000000
8515 8519 1.000000
4342 8702 1.000000
7869 8772 0.500000
8109 8772 0.500000
8515 10003 0.500000
8519 10003 0.500000
5457 10657 1.000000
7742 11738 0.500000
11303 11738 0.500000
6303 11951 1.000000
12916 13700 1.000000
13700 13701 0.500000
12916 13701 0.500000
13700 13702 0.333333
12916 13702 0.333333
13701 13702 0.333333
13700 13703 0.250000
12916 13703 0.250000
13701 13703 0.250000
13702 13703 0.250000
13700 13988 0.200000
13701 13988 0.200000
13702 13988 0.200000
13703 13988 0.200000
12916 13988 0.200000
5518 14169 1.000000
14169 14319 0.500000
5518 14319 0.500000
11112 14984 1.000000
4515 15489 0.500000
7206 15489 0.500000
5792 15574 1.000000
7952 15763 0.250000
10003 15763 0.250000
8515 15763 0.250000
8519 15763 0.250000
15489 16088 0.333333
4515 16088 0.333333
7206 16088 0.333333
5792 16373 0.500000
15574 16373 0.500000
8772 16507 0.333333
7869 16507 0.333333
8109 16507 0.333333
16756 16757 1.000000
16756 16758 0.500000
16757 16758 0.500000
16756 16759 0.333333
16757 16759 0.333333
16758 16759 0.333333
16756 16760 0.250000
16757 16760 0.250000
16758 16760 0.250000
16759 16760 0.250000
5792 16833 0.333333
16373 16833 0.333333
15574 16833 0.333333
16507 17098 0.250000
8772 17098 0.250000
7869 17098 0.250000
8109 17098 0.250000
16756 17303 0.200000
16757 17303 0.200000
16758 17303 0.200000
16759 17303 0.200000
16760 17303 0.200000
17303 17579 0.166667
16756 17579 0.166667
16757 17579 0.166667
16758 17579 0.166667
16759 17579 0.166667
16760 17579 0.166667
17247 17628 1.000000
16088 17635 0.250000
15489 17635 0.250000
4515 17635 0.250000
7206 17635 0.250000
6939 17697 0.500000
3955 17697 0.500000
5792 18076 0.333333
16373 18076 0.333333
15574 18076 0.333333
6580 18203 1.000000
5792 18528 0.250000
16833 18528 0.250000
16373 18528 0.250000
15574 18528 0.250000
9866 18546 1.000000
9866 18547 0.500000
18546 18547 0.500000
9866 18569 0.333333
18547 18569 0.333333
18546 18569 0.333333
18569 18570 0.250000
9866 18570 0.250000
18547 18570 0.250000
18546 18570 0.250000
18668 18669 1.000000
18668 18672 0.500000
18669 18672 0.500000
18672 18673 0.333333
18668 18673 0.333333
18669 18673 0.333333
18672 18767 0.250000
18673 18767 0.250000
18668 18767 0.250000
18669 18767 0.250000
18668 18768 0.200000
18669 18768 0.200000
18767 18768 0.200000
18672 18768 0.200000
18673 18768 0.200000
8033 18837 0.500000
5291 18837 0.500000
18569 18915 0.200000
9866 18915 0.200000
18570 18915 0.200000
18546 18915 0.200000
18547 18915 0.200000
14392 18996 1.000000
18915 19182 0.166667
18569 19182 0.166667
9866 19182 0.166667
18570 19182 0.166667
18546 19182 0.166667
18547 19182 0.166667
18915 19183 0.142857
18569 19183 0.142857
9866 19183 0.142857
18570 19183 0.142857
19182 19183 0.142857
18546 19183 0.142857
18547 19183 0.142857
18915 19184 0.125000
18569 19184 0.125000
9866 19184 0.125000
18570 19184 0.125000
19182 19184 0.125000
19183 19184 0.125000
18546 19184 0.125000
18547 19184 0.125000
19252 19253 1.000000
19252 19254 0.500000
19253 19254 0.500000
15489 19256 0.200000
4515 19256 0.200000
17635 19256 0.200000
7206 19256 0.200000
16088 19256 0.200000
10003 19408 0.250000
8515 19408 0.250000
15763 19408 0.250000
8519 19408 0.250000
8515 19526 0.200000
8519 19526 0.200000
19408 19526 0.200000
10003 19526 0.200000
15763 19526 0.200000
8515 19527 0.166667
19526 19527 0.166667
8519 19527 0.166667
19408 19527 0.166667
10003 19527 0.166667
15763 19527 0.166667
15489 19599 0.166667
4515 19599 0.166667
17635 19599 0.166667
7206 19599 0.166667
19256 19599 0.166667
16088 19599 0.166667
15489 19600 0.142857
4515 19600 0.142857
17635 19600 0.142857
7206 19600 0.142857
19599 19600 0.142857
19256 19600 0.142857
16088 19600 0.142857
19601 19602 1.000000
19601 19608 0.500000
19602 19608 0.500000
8515 19611 0.142857
19526 19611 0.142857
8519 19611 0.142857
19527 19611 0.142857
19408 19611 0.142857
10003 19611 0.142857
15763 19611 0.142857
19608 19621 0.333333
19601 19621 0.333333
19602 19621 0.333333
19608 19622 0.250000
19601 19622 0.250000
19602 19622 0.250000
19621 19622 0.250000
15489 19625 0.125000
4515 19625 0.125000
17635 19625 0.125000
7206 19625 0.125000
